 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.009               0               0               0          0.0000;
     2    0.018               0               0               0          0.0000;
     3    0.027               0               0               0          0.0000;
     4    0.035               0               0               0          0.0000;
     5    0.044               0               0               0          0.0000;
     6    0.053               0               0               0          0.0000;
     7    0.062               0               0               0          0.0000;
     8    0.071               0               0               0          0.0000;
     9    0.080               0               0               0          0.0000;
    10    0.089               0               0               0          0.0000;
    11    0.097               0               0               0          0.0000;
    12    0.106               0               0               0          0.0000;
    13    0.115               0               0               0          0.0000;
    14    0.124               0               0               0          0.0000;
    15    0.133               0               0               0          0.0000;
    16    0.142               0               0               0          0.0000;
    17    0.151               0               0               0          0.0000;
    18    0.159               0               0               0          0.0000;
    19    0.168               0               0               0          0.0000;
    20    0.177               0               0               0          0.0000;
    21    0.186               0               0               0          0.0000;
    22    0.195               0               0               0          0.0000;
    23    0.204               0               0               0          0.0000;
    24    0.213               0               0               0          0.0000;
    25    0.221               0               0               0          0.0000;
    26    0.230               0               0               0          0.0000;
    27    0.239               0               0               0          0.0000;
    28    0.248               0               0               0          0.0000;
    29    0.257               0               0               0          0.0000;
    30    0.266               0               0               0          0.0000;
    31    0.274               0               0               0          0.0000;
    32    0.283               0               0               0          0.0000;
    33    0.292               0               0               0          0.0000;
    34    0.301               0               0               0          0.0000;
    35    0.310               0               0               0          0.0000;
    36    0.319               0               0               0          0.0000;
    37    0.328               0               0               0          0.0000;
    38    0.336               0               0               0          0.0000;
    39    0.345               0               0               0          0.0000;
    40    0.354               0               0               0          0.0000;
    41    0.363               0               0               0          0.0000;
    42    0.372               0               0               0          0.0000;
    43    0.381               0               0               0          0.0000;
    44    0.390               0               0               0          0.0000;
    45    0.398               0               0               0          0.0000;
    46    0.407               0               0               0          0.0000;
    47    0.416               0               0               0          0.0000;
    48    0.425               0               0               0          0.0000;
    49    0.434               0               0               0          0.0018;
    50    0.443               0               0               0          0.0000;
    51    0.452               0               0               0          0.0000;
    52    0.460               0               0               0          0.0000;
    53    0.469               0               0               0          0.0000;
    54    0.478               0               0               0          0.0000;
    55    0.487               0               0               0          0.0000;
    56    0.496               0               0               0          0.0000;
    57    0.505               0               0               0          0.0000;
    58    0.514               0               0               0          0.0018;
    59    0.522               0               0               0          0.0000;
    60    0.531               0               0               0          0.0000;
    61    0.540               0               0               0          0.0000;
    62    0.549               0               0               0          0.0000;
    63    0.558               0               0               0          0.0000;
    64    0.567               0               0               0          0.0000;
    65    0.576               0               0               0          0.0000;
    66    0.584               0               0               0          0.0000;
    67    0.593               0               0               0          0.0000;
    68    0.602               0               0               0          0.0000;
    69    0.611               0               0               0          0.0000;
    70    0.620               0               0               0          0.0000;
    71    0.629               0               0               0          0.0024;
    72    0.638               0               0               0          0.0000;
    73    0.646               0               0               0          0.0000;
    74    0.655               0               0               0          0.0024;
    75    0.664               0               0               0          0.0006;
    76    0.673               0               0               0          0.0006;
    77    0.682               0               0               0          0.0006;
    78    0.691               0               0               0          0.0006;
    79    0.699               1               0               0          0.0006;
    80    0.708               1               0               0          0.0006;
    81    0.717               1               0               0          0.0024;
    82    0.726               1               0               0          0.0006;
    83    0.735               1               0               0          0.0006;
    84    0.744               1               0               0          0.0006;
    85    0.753               1               0               0          0.0012;
    86    0.761               1               0               0          0.0031;
    87    0.770               1               0               0          0.0012;
    88    0.779               1               0               0          0.0012;
    89    0.788               1               0               0          0.0031;
    90    0.797               1               0               0          0.0037;
    91    0.806               1               0               0          0.0012;
    92    0.815               1               0               0          0.0018;
    93    0.823               1               0               0          0.0018;
    94    0.832               1               0               0          0.0018;
    95    0.841               1               0               0          0.0037;
    96    0.850               1               0               0          0.0043;
    97    0.859               1               0               0          0.0043;
    98    0.868               1               0               0          0.0024;
    99    0.877               2               0               0          0.0024;
   100    0.885               2               0               0          0.0024;
   101    0.894               2               0               0          0.0049;
   102    0.903               2               0               0          0.0049;
   103    0.912               2               0               0          0.0049;
   104    0.921               2               0               0          0.0031;
   105    0.930               2               0               0          0.0037;
   106    0.939               2               0               0          0.0037;
   107    0.947               2               0               0          0.0055;
   108    0.956               2               0               0          0.0037;
   109    0.965               2               0               0          0.0061;
   110    0.974               2               0               0          0.0043;
   111    0.983               3               0               0          0.0043;
   112    0.992               3               0               0          0.0067;
   113    1.001               3               0               0          0.0067;
   114    1.009               3               1               0          0.0031;
   115    1.018               3               1               0          0.0037;
   116    1.027               3               1               0          0.0037;
   117    1.036               3               1               0          0.0037;
   118    1.045               3               1               0          0.0055;
   119    1.054               4               2               0          0.0037;
   120    1.063               4               2               0          0.0037;
   121    1.071               4               2               0          0.0043;
   122    1.080               4               2               0          0.0043;
   123    1.089               4               2               0          0.0061;
   124    1.098               4               2               0          0.0067;
   125    1.107               5               2               0          0.0067;
   126    1.116               5               2               0          0.0092;
   127    1.124               5               2               0          0.0092;
   128    1.133               5               2               0          0.0098;
   129    1.142               5               2               0          0.0079;
   130    1.151               6               2               0          0.0067;
   131    1.160               6               2               0          0.0110;
   132    1.169               6               2               0          0.0110;
   133    1.178               6               3               0          0.0116;
   134    1.186               7               3               0          0.0085;
   135    1.195               7               3               0          0.0061;
   136    1.204               7               4               0          0.0067;
   137    1.213               7               4               0          0.0067;
   138    1.222               8               4               0          0.0067;
   139    1.231               8               4               0          0.0110;
   140    1.240               8               4               0          0.0073;
   141    1.248               8               4               1          0.0098;
   142    1.257               9               5               1          0.0098;
   143    1.266               9               5               1          0.0104;
   144    1.275               9               5               1          0.0043;
   145    1.284              10               5               1          0.0104;
   146    1.293              10               6               1          0.0104;
   147    1.302              10               6               1          0.0110;
   148    1.310              11               6               1          0.0134;
   149    1.319              11               6               1          0.0116;
   150    1.328              11               6               1          0.0140;
   151    1.337              12               7               1          0.0122;
   152    1.346              12               7               1          0.0147;
   153    1.355              13               7               1          0.0067;
   154    1.364              13               7               1          0.0147;
   155    1.372              14               8               1          0.0153;
   156    1.381              14               8               2          0.0098;
   157    1.390              14               9               2          0.0153;
   158    1.399              15               9               2          0.0159;
   159    1.408              15               9               2          0.0122;
   160    1.417              16              10               2          0.0147;
   161    1.426              16              10               2          0.0165;
   162    1.434              17              10               2          0.0189;
   163    1.443              17              11               3          0.0159;
   164    1.452              18              11               3          0.0183;
   165    1.461              19              11               3          0.0147;
   166    1.470              19              12               3          0.0189;
   167    1.479              20              12               3          0.0134;
   168    1.488              20              13               3          0.0195;
   169    1.496              21              13               3          0.0177;
   170    1.505              22              14               3          0.0177;
   171    1.514              22              14               3          0.0183;
   172    1.523              23              14               4          0.0208;
   173    1.532              24              15               4          0.0214;
   174    1.541              24              15               4          0.0220;
   175    1.549              25              16               4          0.0226;
   176    1.558              26              16               4          0.0208;
   177    1.567              27              17               4          0.0232;
   178    1.576              27              17               4          0.0256;
   179    1.585              28              18               4          0.0244;
   180    1.594              29              18               4          0.0250;
   181    1.603              30              19               5          0.0275;
   182    1.611              31              19               5          0.0263;
   183    1.620              32              20               5          0.0293;
   184    1.629              32              21               5          0.0317;
   185    1.638              33              21               5          0.0305;
   186    1.647              34              22               5          0.0311;
   187    1.656              35              22               6          0.0324;
   188    1.665              36              23               6          0.0348;
   189    1.673              37              23               6          0.0360;
   190    1.682              38              24               6          0.0372;
   191    1.691              39              24               6          0.0427;
   192    1.700              40              25               6          0.0415;
   193    1.709              42              25               6          0.0409;
   194    1.718              43              26               7          0.0440;
   195    1.727              44              26               7          0.0433;
   196    1.735              45              26               7          0.0488;
   197    1.744              46              27               7          0.0507;
   198    1.753              47              27               7          0.0525;
   199    1.762              49              28               7          0.0562;
   200    1.771              50              28               7          0.0580;
   201    1.780              51              29               7          0.0617;
   202    1.789              53              29               7          0.0611;
   203    1.797              54              30               7          0.0629;
   204    1.806              55              30               8          0.0623;
   205    1.815              57              31               8          0.0641;
   206    1.824              58              32               8          0.0659;
   207    1.833              60              33               8          0.0635;
   208    1.842              61              34               8          0.0647;
   209    1.851              63              34               8          0.0696;
   210    1.859              65              35               9          0.0672;
   211    1.868              66              36               9          0.0684;
   212    1.877              68              38               9          0.0653;
   213    1.886              70              39              10          0.0684;
   214    1.895              71              40              10          0.0714;
   215    1.904              73              42              10          0.0702;
   216    1.913              75              43              11          0.0775;
   217    1.921              77              44              11          0.0745;
